id,input_len,output_len,arrival_time,target_worker
0,161,7459,0.0,0
1,161,6630,0.0,0
2,161,4611,0.0,0
3,161,11974,0.0,0
4,161,10692,0.0,0
5,161,8807,0.0,0
6,161,10192,0.0,0
7,161,21760,0.0,0
8,84,6288,0.0,1
9,84,6261,0.0,1
10,84,6079,0.0,1
11,84,7634,0.0,1
12,84,4663,0.0,1
13,84,13461,0.0,1
14,84,6948,0.0,1
15,84,6294,0.0,1
16,147,3952,0.0,2
17,147,1966,0.0,2
18,147,3271,0.0,2
19,147,1853,0.0,2
20,147,1676,0.0,2
21,147,1613,0.0,2
22,147,1997,0.0,2
23,147,3650,0.0,2
24,357,3057,0.0,3
25,357,744,0.0,3
26,357,3846,0.0,3
27,357,1520,0.0,3
28,357,1882,0.0,3
29,357,1153,0.0,3
30,357,5979,0.0,3
31,357,11018,0.0,3
32,188,2494,0.0,4
33,188,1084,0.0,4
34,188,827,0.0,4
35,188,1428,0.0,4
36,188,1456,0.0,4
37,188,1473,0.0,4
38,188,1447,0.0,4
39,188,1619,0.0,4
40,118,3418,0.0,5
41,118,1608,0.0,5
42,118,8892,0.0,5
43,118,2241,0.0,5
44,118,5656,0.0,5
45,118,2421,0.0,5
46,118,6211,0.0,5
47,118,2674,0.0,5
48,117,16599,0.0,6
49,117,20631,0.0,6
50,117,15505,0.0,6
51,117,12561,0.0,6
52,117,14005,0.0,6
53,117,17094,0.0,6
54,117,18177,0.0,6
55,117,13667,0.0,6
56,98,13600,0.0,7
57,98,9806,0.0,7
58,98,11495,0.0,7
59,98,8799,0.0,7
60,98,9315,0.0,7
61,98,10684,0.0,7
62,98,15665,0.0,7
63,98,16389,0.0,7
64,70,1237,0.0,0
65,70,1265,0.0,0
66,70,1118,0.0,0
67,70,1202,0.0,0
68,70,1462,0.0,0
69,70,1661,0.0,0
70,70,1033,0.0,0
71,70,1362,0.0,0
72,107,3844,0.0,1
73,107,3635,0.0,1
74,107,9900,0.0,1
75,107,2301,0.0,1
76,107,1892,0.0,1
77,107,3199,0.0,1
78,107,3019,0.0,1
79,107,2103,0.0,1
80,124,4188,0.0,2
81,124,5446,0.0,2
82,124,3413,0.0,2
83,124,4480,0.0,2
84,124,3662,0.0,2
85,124,4342,0.0,2
86,124,4138,0.0,2
87,124,4799,0.0,2
88,124,6991,0.0,3
89,124,5671,0.0,3
90,124,6967,0.0,3
91,124,11236,0.0,3
92,124,5555,0.0,3
93,124,7171,0.0,3
94,124,5284,0.0,3
95,124,7739,0.0,3
96,108,20438,0.0,4
97,108,6863,0.0,4
98,108,19119,0.0,4
99,108,11859,0.0,4
100,108,5750,0.0,4
101,108,6825,0.0,4
102,108,5494,0.0,4
103,108,6943,0.0,4
104,145,17247,0.0,5
105,145,15442,0.0,5
106,145,13129,0.0,5
107,145,15517,0.0,5
108,145,14283,0.0,5
109,145,17121,0.0,5
110,145,17913,0.0,5
111,145,12938,0.0,5
112,212,3146,0.0,6
113,212,3286,0.0,6
114,212,3621,0.0,6
115,212,5022,0.0,6
116,212,4291,0.0,6
117,212,2667,0.0,6
118,212,6331,0.0,6
119,212,6163,0.0,6
120,98,2166,0.0,7
121,98,2049,0.0,7
122,98,3433,0.0,7
123,98,2887,0.0,7
124,98,3018,0.0,7
125,98,3405,0.0,7
126,98,1545,0.0,7
127,98,1825,0.0,7
128,119,4166,0.0,0
129,119,3832,0.0,0
130,119,3575,0.0,0
131,119,2750,0.0,0
132,119,4599,0.0,0
133,119,3421,0.0,0
134,119,4162,0.0,0
135,119,3808,0.0,0
136,121,3320,0.0,1
137,121,3741,0.0,1
138,121,4504,0.0,1
139,121,11297,0.0,1
140,121,4549,0.0,1
141,121,6357,0.0,1
142,121,9990,0.0,1
143,121,4070,0.0,1
144,145,4828,0.0,2
145,145,4553,0.0,2
146,145,8702,0.0,2
147,145,7596,0.0,2
148,145,6552,0.0,2
149,145,5177,0.0,2
150,145,9664,0.0,2
151,145,9536,0.0,2
152,135,15370,0.0,3
153,135,5868,0.0,3
154,135,8932,0.0,3
155,135,5972,0.0,3
156,135,9408,0.0,3
157,135,7533,0.0,3
158,135,8245,0.0,3
159,135,9150,0.0,3
160,95,11334,0.0,4
161,95,7797,0.0,4
162,95,16284,0.0,4
163,95,9916,0.0,4
164,95,9661,0.0,4
165,95,12707,0.0,4
166,95,13576,0.0,4
167,95,6761,0.0,4
168,96,12526,0.0,5
169,96,14199,0.0,5
170,96,9936,0.0,5
171,96,15061,0.0,5
172,96,18408,0.0,5
173,96,15375,0.0,5
174,96,17156,0.0,5
175,96,15859,0.0,5
176,233,7625,0.0,6
177,233,11545,0.0,6
178,233,5279,0.0,6
179,233,5353,0.0,6
180,233,11672,0.0,6
181,233,7024,0.0,6
182,233,6018,0.0,6
183,233,7423,0.0,6
184,128,3079,0.0,7
185,128,2722,0.0,7
186,128,4393,0.0,7
187,128,4378,0.0,7
188,128,3269,0.0,7
189,128,2057,0.0,7
190,128,5177,0.0,7
191,128,1810,0.0,7
192,139,5609,0.0,0
193,139,7818,0.0,0
194,139,8270,0.0,0
195,139,5573,0.0,0
196,139,6975,0.0,0
197,139,7480,0.0,0
198,139,3930,0.0,0
199,139,3540,0.0,0
200,151,9296,0.0,1
201,151,8942,0.0,1
202,151,14658,0.0,1
203,151,9122,0.0,1
204,151,10227,0.0,1
205,151,9863,0.0,1
206,151,8074,0.0,1
207,151,7928,0.0,1
208,216,10994,0.0,2
209,216,14610,0.0,2
210,216,16130,0.0,2
211,216,18455,0.0,2
212,216,15849,0.0,2
213,216,19752,0.0,2
214,216,8941,0.0,2
215,216,17964,0.0,2
216,181,13175,0.0,3
217,181,11541,0.0,3
218,181,11567,0.0,3
219,181,17731,0.0,3
220,181,10671,0.0,3
221,181,18175,0.0,3
222,181,19856,0.0,3
223,181,16777,0.0,3
224,109,1988,0.0,4
225,109,1248,0.0,4
226,109,1540,0.0,4
227,109,1140,0.0,4
228,109,1164,0.0,4
229,109,1041,0.0,4
230,109,1763,0.0,4
231,109,1091,0.0,4
232,162,7806,0.0,5
233,162,7050,0.0,5
234,162,11010,0.0,5
235,162,6626,0.0,5
236,162,19660,0.0,5
237,162,5056,0.0,5
238,162,10196,0.0,5
239,162,10298,0.0,5
240,113,12259,0.0,6
241,113,16040,0.0,6
242,113,15958,0.0,6
243,113,17109,0.0,6
244,113,14612,0.0,6
245,113,12883,0.0,6
246,113,12762,0.0,6
247,113,15158,0.0,6
248,129,1785,0.0,7
249,129,1963,0.0,7
250,129,2200,0.0,7
251,129,1227,0.0,7
252,129,1689,0.0,7
253,129,1966,0.0,7
254,129,1869,0.0,7
255,129,2578,0.0,7
256,295,4879,0.0,0
257,295,2795,0.0,0
258,295,2121,0.0,0
259,295,5895,0.0,0
260,295,2781,0.0,0
261,295,3491,0.0,0
262,295,2744,0.0,0
263,295,4131,0.0,0
264,163,22528,0.0,1
265,163,14162,0.0,1
266,163,14676,0.0,1
267,163,22158,0.0,1
268,163,15535,0.0,1
269,163,20273,0.0,1
270,163,9723,0.0,1
271,163,18115,0.0,1
272,149,3914,0.0,2
273,149,9118,0.0,2
274,149,8156,0.0,2
275,149,22696,0.0,2
276,149,8586,0.0,2
277,149,3297,0.0,2
278,149,5605,0.0,2
279,149,6766,0.0,2
280,111,10906,0.0,3
281,111,11255,0.0,3
282,111,12820,0.0,3
283,111,11968,0.0,3
284,111,8918,0.0,3
285,111,14304,0.0,3
286,111,11069,0.0,3
287,111,11742,0.0,3
288,112,2684,0.0,4
289,112,3819,0.0,4
290,112,6815,0.0,4
291,112,8019,0.0,4
292,112,4512,0.0,4
293,112,4931,0.0,4
294,112,6508,0.0,4
295,112,4221,0.0,4
296,81,2800,0.0,5
297,81,5282,0.0,5
298,81,11808,0.0,5
299,81,4214,0.0,5
300,81,4683,0.0,5
301,81,3502,0.0,5
302,81,3437,0.0,5
303,81,4963,0.0,5
304,118,9683,0.0,6
305,118,10166,0.0,6
306,118,6070,0.0,6
307,118,10536,0.0,6
308,118,14301,0.0,6
309,118,9223,0.0,6
310,118,8787,0.0,6
311,118,8029,0.0,6
312,121,8653,0.0,7
313,121,9825,0.0,7
314,121,10580,0.0,7
315,121,10597,0.0,7
316,121,11636,0.0,7
317,121,10466,0.0,7
318,121,9674,0.0,7
319,121,9586,0.0,7
320,125,4323,0.0,0
321,125,1307,0.0,0
322,125,2254,0.0,0
323,125,3248,0.0,0
324,125,1350,0.0,0
325,125,2839,0.0,0
326,125,2714,0.0,0
327,125,2505,0.0,0
328,127,4784,0.0,1
329,127,13798,0.0,1
330,127,9109,0.0,1
331,127,10038,0.0,1
332,127,9776,0.0,1
333,127,15223,0.0,1
334,127,6728,0.0,1
335,127,6831,0.0,1
336,189,11089,0.0,2
337,189,11166,0.0,2
338,189,14554,0.0,2
339,189,10702,0.0,2
340,189,11589,0.0,2
341,189,10418,0.0,2
342,189,11799,0.0,2
343,189,11673,0.0,2
344,144,10708,0.0,3
345,144,12590,0.0,3
346,144,9098,0.0,3
347,144,12001,0.0,3
348,144,12796,0.0,3
349,144,12383,0.0,3
350,144,10468,0.0,3
351,144,11024,0.0,3
352,103,3839,0.0,4
353,103,1861,0.0,4
354,103,478,0.0,4
355,103,2412,0.0,4
356,103,8776,0.0,4
357,103,3068,0.0,4
358,103,1683,0.0,4
359,103,9525,0.0,4
360,112,5839,0.0,5
361,112,9274,0.0,5
362,112,7491,0.0,5
363,112,8483,0.0,5
364,112,8337,0.0,5
365,112,4429,0.0,5
366,112,16578,0.0,5
367,112,10168,0.0,5
368,134,1401,0.0,6
369,134,2117,0.0,6
370,134,2684,0.0,6
371,134,1415,0.0,6
372,134,2675,0.0,6
373,134,2569,0.0,6
374,134,2207,0.0,6
375,134,2390,0.0,6
376,90,1199,0.0,7
377,90,1302,0.0,7
378,90,1248,0.0,7
379,90,1324,0.0,7
380,90,970,0.0,7
381,90,1174,0.0,7
382,90,1674,0.0,7
383,90,1255,0.0,7
384,120,7565,0.0,0
385,120,5023,0.0,0
386,120,5951,0.0,0
387,120,7223,0.0,0
388,120,4476,0.0,0
389,120,14507,0.0,0
390,120,6068,0.0,0
391,120,12282,0.0,0
392,120,8202,0.0,1
393,120,8230,0.0,1
394,120,11553,0.0,1
395,120,12366,0.0,1
396,120,17116,0.0,1
397,120,11304,0.0,1
398,120,13427,0.0,1
399,120,12328,0.0,1
400,87,3589,0.0,2
401,87,3718,0.0,2
402,87,3098,0.0,2
403,87,3077,0.0,2
404,87,2795,0.0,2
405,87,4767,0.0,2
406,87,3995,0.0,2
407,87,3913,0.0,2
408,133,17278,0.0,3
409,133,17274,0.0,3
410,133,7729,0.0,3
411,133,17101,0.0,3
412,133,20275,0.0,3
413,133,22871,0.0,3
414,133,4585,0.0,3
415,133,18336,0.0,3
416,87,6857,0.0,4
417,87,3347,0.0,4
418,87,4392,0.0,4
419,87,3733,0.0,4
420,87,4564,0.0,4
421,87,2068,0.0,4
422,87,13336,0.0,4
423,87,3091,0.0,4
424,163,4314,0.0,5
425,163,4802,0.0,5
426,163,4288,0.0,5
427,163,4967,0.0,5
428,163,5295,0.0,5
429,163,3039,0.0,5
430,163,4083,0.0,5
431,163,9412,0.0,5
432,108,2570,0.0,6
433,108,1504,0.0,6
434,108,1885,0.0,6
435,108,3663,0.0,6
436,108,1183,0.0,6
437,108,1974,0.0,6
438,108,2702,0.0,6
439,108,1437,0.0,6
440,111,5884,0.0,7
441,111,12072,0.0,7
442,111,7562,0.0,7
443,111,11904,0.0,7
444,111,8424,0.0,7
445,111,7370,0.0,7
446,111,7349,0.0,7
447,111,6888,0.0,7
448,144,3299,0.0,0
449,144,7563,0.0,0
450,144,5612,0.0,0
451,144,4740,0.0,0
452,144,6091,0.0,0
453,144,5256,0.0,0
454,144,4563,0.0,0
455,144,5682,0.0,0
456,103,4606,0.0,1
457,103,2148,0.0,1
458,103,3094,0.0,1
459,103,2682,0.0,1
460,103,2507,0.0,1
461,103,3381,0.0,1
462,103,2859,0.0,1
463,103,3007,0.0,1
464,126,5813,0.0,2
465,126,4892,0.0,2
466,126,3774,0.0,2
467,126,4929,0.0,2
468,126,6709,0.0,2
469,126,3934,0.0,2
470,126,8928,0.0,2
471,126,7729,0.0,2
472,89,4026,0.0,3
473,89,6505,0.0,3
474,89,3445,0.0,3
475,89,5344,0.0,3
476,89,6161,0.0,3
477,89,6629,0.0,3
478,89,6798,0.0,3
479,89,8701,0.0,3
480,190,4514,0.0,4
481,190,5286,0.0,4
482,190,3330,0.0,4
483,190,3690,0.0,4
484,190,3316,0.0,4
485,190,3114,0.0,4
486,190,4872,0.0,4
487,190,5241,0.0,4
488,187,11073,0.0,5
489,187,4148,0.0,5
490,187,3156,0.0,5
491,187,7275,0.0,5
492,187,3603,0.0,5
493,187,2288,0.0,5
494,187,2310,0.0,5
495,187,3904,0.0,5
496,93,4643,0.0,6
497,93,4960,0.0,6
498,93,4665,0.0,6
499,93,4220,0.0,6
500,93,3391,0.0,6
501,93,572,0.0,6
502,93,4977,0.0,6
503,93,3761,0.0,6
504,155,2327,0.0,7
505,155,2053,0.0,7
506,155,2354,0.0,7
507,155,6614,0.0,7
508,155,2592,0.0,7
509,155,2105,0.0,7
510,155,5583,0.0,7
511,155,3793,0.0,7
512,145,3134,0.0,0
513,145,1649,0.0,0
514,145,2323,0.0,0
515,145,2476,0.0,0
516,145,3236,0.0,0
517,145,2937,0.0,0
518,145,3236,0.0,0
519,145,3192,0.0,0
520,163,15584,0.0,1
521,163,7518,0.0,1
522,163,7822,0.0,1
523,163,19405,0.0,1
524,163,12858,0.0,1
525,163,14464,0.0,1
526,163,9991,0.0,1
527,163,12735,0.0,1
528,113,2120,0.0,2
529,113,1765,0.0,2
530,113,2677,0.0,2
531,113,3447,0.0,2
532,113,2093,0.0,2
533,113,3400,0.0,2
534,113,1738,0.0,2
535,113,1790,0.0,2
536,182,7099,0.0,3
537,182,10273,0.0,3
538,182,8812,0.0,3
539,182,7777,0.0,3
540,182,4186,0.0,3
541,182,9836,0.0,3
542,182,7968,0.0,3
543,182,7835,0.0,3
544,141,4174,0.0,4
545,141,3612,0.0,4
546,141,10196,0.0,4
547,141,14555,0.0,4
548,141,5754,0.0,4
549,141,4682,0.0,4
550,141,3632,0.0,4
551,141,6882,0.0,4
552,230,5828,0.0,5
553,230,7361,0.0,5
554,230,6083,0.0,5
555,230,2843,0.0,5
556,230,3689,0.0,5
557,230,7757,0.0,5
558,230,4131,0.0,5
559,230,7189,0.0,5
560,89,9188,0.0,6
561,89,11498,0.0,6
562,89,14212,0.0,6
563,89,9325,0.0,6
564,89,18205,0.0,6
565,89,11686,0.0,6
566,89,13841,0.0,6
567,89,9230,0.0,6
568,139,11207,0.0,7
569,139,3760,0.0,7
570,139,15443,0.0,7
571,139,9253,0.0,7
572,139,4958,0.0,7
573,139,3854,0.0,7
574,139,2519,0.0,7
575,139,7822,0.0,7
576,147,7333,0.0,0
577,147,10433,0.0,0
578,147,8160,0.0,0
579,147,8513,0.0,0
580,147,11560,0.0,0
581,147,10337,0.0,0
582,147,8403,0.0,0
583,147,8694,0.0,0
584,120,9277,0.0,1
585,120,3801,0.0,1
586,120,13111,0.0,1
587,120,4804,0.0,1
588,120,10018,0.0,1
589,120,11308,0.0,1
590,120,5206,0.0,1
591,120,10096,0.0,1
592,164,2906,0.0,2
593,164,1991,0.0,2
594,164,2674,0.0,2
595,164,2531,0.0,2
596,164,2701,0.0,2
597,164,2209,0.0,2
598,164,2374,0.0,2
599,164,1985,0.0,2
600,121,4421,0.0,3
601,121,3887,0.0,3
602,121,6245,0.0,3
603,121,5120,0.0,3
604,121,5779,0.0,3
605,121,3674,0.0,3
606,121,6807,0.0,3
607,121,4133,0.0,3
608,94,692,0.0,4
609,94,808,0.0,4
610,94,722,0.0,4
611,94,2463,0.0,4
612,94,1169,0.0,4
613,94,2341,0.0,4
614,94,610,0.0,4
615,94,1560,0.0,4
616,170,6481,0.0,5
617,170,6229,0.0,5
618,170,4674,0.0,5
619,170,4294,0.0,5
620,170,7284,0.0,5
621,170,5074,0.0,5
622,170,3227,0.0,5
623,170,5996,0.0,5
624,77,1360,0.0,6
625,77,3204,0.0,6
626,77,1983,0.0,6
627,77,3868,0.0,6
628,77,2134,0.0,6
629,77,1238,0.0,6
630,77,1683,0.0,6
631,77,1590,0.0,6
632,159,11676,0.0,7
633,159,10796,0.0,7
634,159,7090,0.0,7
635,159,14112,0.0,7
636,159,8767,0.0,7
637,159,5301,0.0,7
638,159,19567,0.0,7
639,159,5051,0.0,7
640,200,5844,0.0,0
641,200,5633,0.0,0
642,200,5807,0.0,0
643,200,5609,0.0,0
644,200,5703,0.0,0
645,200,6525,0.0,0
646,200,4638,0.0,0
647,200,4778,0.0,0
648,102,13682,0.0,1
649,102,12414,0.0,1
650,102,15424,0.0,1
651,102,13607,0.0,1
652,102,11381,0.0,1
653,102,12397,0.0,1
654,102,18116,0.0,1
655,102,5790,0.0,1
656,130,21080,0.0,2
657,130,18137,0.0,2
658,130,24315,0.0,2
659,130,12096,0.0,2
660,130,17256,0.0,2
661,130,20324,0.0,2
662,130,19145,0.0,2
663,130,15414,0.0,2
664,461,4881,0.0,3
665,461,4409,0.0,3
666,461,4979,0.0,3
667,461,5652,0.0,3
668,461,4718,0.0,3
669,461,2643,0.0,3
670,461,5860,0.0,3
671,461,2999,0.0,3
672,95,5198,0.0,4
673,95,3327,0.0,4
674,95,2317,0.0,4
675,95,6441,0.0,4
676,95,4365,0.0,4
677,95,4883,0.0,4
678,95,6755,0.0,4
679,95,6355,0.0,4
680,120,9951,0.0,5
681,120,6024,0.0,5
682,120,7345,0.0,5
683,120,6161,0.0,5
684,120,7678,0.0,5
685,120,5545,0.0,5
686,120,6017,0.0,5
687,120,6989,0.0,5
688,179,6008,0.0,6
689,179,6246,0.0,6
690,179,5308,0.0,6
691,179,5186,0.0,6
692,179,8019,0.0,6
693,179,8289,0.0,6
694,179,6136,0.0,6
695,179,3889,0.0,6
696,116,2908,0.0,7
697,116,4136,0.0,7
698,116,3574,0.0,7
699,116,3913,0.0,7
700,116,7136,0.0,7
701,116,3467,0.0,7
702,116,6767,0.0,7
703,116,4788,0.0,7
704,166,3491,0.0,0
705,166,5114,0.0,0
706,166,2191,0.0,0
707,166,4682,0.0,0
708,166,4478,0.0,0
709,166,5887,0.0,0
710,166,4998,0.0,0
711,166,10048,0.0,0
712,126,1488,0.0,1
713,126,1227,0.0,1
714,126,13226,0.0,1
715,126,1195,0.0,1
716,126,3496,0.0,1
717,126,1115,0.0,1
718,126,8720,0.0,1
719,126,1933,0.0,1
720,247,6398,0.0,2
721,247,6671,0.0,2
722,247,5071,0.0,2
723,247,4724,0.0,2
724,247,4769,0.0,2
725,247,5209,0.0,2
726,247,5240,0.0,2
727,247,7439,0.0,2
728,108,5152,0.0,3
729,108,1686,0.0,3
730,108,2251,0.0,3
731,108,1920,0.0,3
732,108,2547,0.0,3
733,108,2512,0.0,3
734,108,1868,0.0,3
735,108,1001,0.0,3
736,136,5185,0.0,4
737,136,3603,0.0,4
738,136,6367,0.0,4
739,136,7275,0.0,4
740,136,7510,0.0,4
741,136,2528,0.0,4
742,136,13657,0.0,4
743,136,5835,0.0,4
744,140,17326,0.0,5
745,140,16958,0.0,5
746,140,16796,0.0,5
747,140,11877,0.0,5
748,140,10051,0.0,5
749,140,9708,0.0,5
750,140,13500,0.0,5
751,140,18989,0.0,5
752,153,14955,0.0,6
753,153,13729,0.0,6
754,153,7730,0.0,6
755,153,11819,0.0,6
756,153,19486,0.0,6
757,153,14413,0.0,6
758,153,7868,0.0,6
759,153,9053,0.0,6
760,98,2021,0.0,7
761,98,2577,0.0,7
762,98,2916,0.0,7
763,98,6162,0.0,7
764,98,2704,0.0,7
765,98,1295,0.0,7
766,98,3764,0.0,7
767,98,2369,0.0,7
768,165,11955,0.0,0
769,165,5370,0.0,0
770,165,7606,0.0,0
771,165,11371,0.0,0
772,165,3844,0.0,0
773,165,6939,0.0,0
774,165,12156,0.0,0
775,165,16500,0.0,0
776,104,10288,0.0,1
777,104,10487,0.0,1
778,104,10829,0.0,1
779,104,11351,0.0,1
780,104,10390,0.0,1
781,104,6995,0.0,1
782,104,11642,0.0,1
783,104,6756,0.0,1
784,90,5699,0.0,2
785,90,3928,0.0,2
786,90,2651,0.0,2
787,90,5233,0.0,2
788,90,7984,0.0,2
789,90,10760,0.0,2
790,90,6957,0.0,2
791,90,2407,0.0,2
792,160,6145,0.0,3
793,160,5888,0.0,3
794,160,6304,0.0,3
795,160,11509,0.0,3
796,160,5002,0.0,3
797,160,6437,0.0,3
798,160,7290,0.0,3
799,160,4098,0.0,3
800,151,1834,0.0,4
801,151,1433,0.0,4
802,151,1476,0.0,4
803,151,2827,0.0,4
804,151,3498,0.0,4
805,151,2538,0.0,4
806,151,991,0.0,4
807,151,4157,0.0,4
808,107,3085,0.0,5
809,107,8565,0.0,5
810,107,3614,0.0,5
811,107,4463,0.0,5
812,107,2508,0.0,5
813,107,7565,0.0,5
814,107,1494,0.0,5
815,107,2772,0.0,5
816,183,3617,0.0,6
817,183,4496,0.0,6
818,183,4693,0.0,6
819,183,2730,0.0,6
820,183,4456,0.0,6
821,183,3817,0.0,6
822,183,3700,0.0,6
823,183,6135,0.0,6
824,107,10895,0.0,7
825,107,14668,0.0,7
826,107,9765,0.0,7
827,107,13840,0.0,7
828,107,13639,0.0,7
829,107,7494,0.0,7
830,107,10173,0.0,7
831,107,7926,0.0,7
832,136,18820,0.0,0
833,136,16945,0.0,0
834,136,14554,0.0,0
835,136,12885,0.0,0
836,136,13832,0.0,0
837,136,15066,0.0,0
838,136,13114,0.0,0
839,136,14468,0.0,0
840,150,7239,0.0,1
841,150,8164,0.0,1
842,150,5202,0.0,1
843,150,16058,0.0,1
844,150,6498,0.0,1
845,150,5730,0.0,1
846,150,17837,0.0,1
847,150,18942,0.0,1
848,245,6134,0.0,2
849,245,2846,0.0,2
850,245,9377,0.0,2
851,245,4433,0.0,2
852,245,13662,0.0,2
853,245,11402,0.0,2
854,245,18382,0.0,2
855,245,6271,0.0,2
856,201,4485,0.0,3
857,201,4412,0.0,3
858,201,5884,0.0,3
859,201,4167,0.0,3
860,201,3560,0.0,3
861,201,4947,0.0,3
862,201,4134,0.0,3
863,201,7648,0.0,3
864,139,8946,0.0,4
