id,input_len,output_len,arrival_time,target_worker
0,169,1734,0.0,0
1,169,2879,0.0,0
2,169,2693,0.0,0
3,169,2046,0.0,0
4,169,1967,0.0,0
5,169,2817,0.0,0
6,169,3373,0.0,0
7,169,2086,0.0,0
8,282,4927,0.0,1
9,282,6422,0.0,1
10,282,6633,0.0,1
11,282,4741,0.0,1
12,282,10079,0.0,1
13,282,9417,0.0,1
14,282,8231,0.0,1
15,282,6314,0.0,1
16,341,10314,0.0,2
17,341,9618,0.0,2
18,341,4257,0.0,2
19,341,5696,0.0,2
20,341,3992,0.0,2
21,341,9222,0.0,2
22,341,7565,0.0,2
23,341,7831,0.0,2
24,120,11064,0.0,3
25,120,10492,0.0,3
26,120,9553,0.0,3
27,120,15574,0.0,3
28,120,12605,0.0,3
29,120,10741,0.0,3
30,120,11928,0.0,3
31,120,12625,0.0,3
32,191,15342,0.0,4
33,191,8847,0.0,4
34,191,12796,0.0,4
35,191,19766,0.0,4
36,191,8280,0.0,4
37,191,18012,0.0,4
38,191,17910,0.0,4
39,191,18692,0.0,4
40,152,3296,0.0,5
41,152,5171,0.0,5
42,152,4942,0.0,5
43,152,2795,0.0,5
44,152,3635,0.0,5
45,152,4273,0.0,5
46,152,3321,0.0,5
47,152,4517,0.0,5
48,173,3682,0.0,6
49,173,4824,0.0,6
50,173,2979,0.0,6
51,173,8076,0.0,6
52,173,11138,0.0,6
53,173,4517,0.0,6
54,173,5321,0.0,6
55,173,16357,0.0,6
56,166,7991,0.0,7
57,166,7677,0.0,7
58,166,7006,0.0,7
59,166,6834,0.0,7
60,166,6892,0.0,7
61,166,6595,0.0,7
62,166,7151,0.0,7
63,166,5815,0.0,7
64,124,4031,0.0,0
65,124,5931,0.0,0
66,124,14588,0.0,0
67,124,3483,0.0,0
68,124,3505,0.0,0
69,124,5541,0.0,0
70,124,10029,0.0,0
71,124,6458,0.0,0
72,106,20180,0.0,1
73,106,9273,0.0,1
74,106,13716,0.0,1
75,106,5939,0.0,1
76,106,7830,0.0,1
77,106,4770,0.0,1
78,106,6260,0.0,1
79,106,7661,0.0,1
80,101,7517,0.0,2
81,101,6355,0.0,2
82,101,7925,0.0,2
83,101,5681,0.0,2
84,101,9007,0.0,2
85,101,8777,0.0,2
86,101,5270,0.0,2
87,101,8128,0.0,2
88,169,6013,0.0,3
89,169,4412,0.0,3
90,169,4422,0.0,3
91,169,4807,0.0,3
92,169,12527,0.0,3
93,169,4875,0.0,3
94,169,2173,0.0,3
95,169,4017,0.0,3
96,99,5456,0.0,4
97,99,7421,0.0,4
98,99,2641,0.0,4
99,99,4604,0.0,4
100,99,4631,0.0,4
101,99,5226,0.0,4
102,99,5209,0.0,4
103,99,4552,0.0,4
104,128,7007,0.0,5
105,128,7533,0.0,5
106,128,12375,0.0,5
107,128,4543,0.0,5
108,128,11154,0.0,5
109,128,11096,0.0,5
110,128,7963,0.0,5
111,128,13297,0.0,5
112,125,6402,0.0,6
113,125,11972,0.0,6
114,125,7246,0.0,6
115,125,9379,0.0,6
116,125,9116,0.0,6
117,125,17402,0.0,6
118,125,10517,0.0,6
119,125,16501,0.0,6
120,213,8421,0.0,7
121,213,4947,0.0,7
122,213,4400,0.0,7
123,213,4011,0.0,7
124,213,9358,0.0,7
125,213,3168,0.0,7
126,213,4272,0.0,7
127,213,7099,0.0,7
128,104,3619,0.0,0
129,104,2901,0.0,0
130,104,4738,0.0,0
131,104,4147,0.0,0
132,104,3010,0.0,0
133,104,4600,0.0,0
134,104,3889,0.0,0
135,104,3505,0.0,0
136,76,975,0.0,1
137,76,996,0.0,1
138,76,922,0.0,1
139,76,528,0.0,1
140,76,541,0.0,1
141,76,1025,0.0,1
142,76,832,0.0,1
143,76,502,0.0,1
144,184,18235,0.0,2
145,184,15369,0.0,2
146,184,14926,0.0,2
147,184,15771,0.0,2
148,184,14070,0.0,2
149,184,14358,0.0,2
150,184,17371,0.0,2
151,184,16510,0.0,2
152,127,4286,0.0,3
153,127,1914,0.0,3
154,127,3481,0.0,3
155,127,2734,0.0,3
