id,input_len,output_len,arrival_time,target_worker
0,158,8712,0.0,0
1,158,7788,0.0,0
2,158,5661,0.0,0
3,158,10753,0.0,0
4,158,5575,0.0,0
5,158,7499,0.0,0
6,158,8466,0.0,0
7,158,10430,0.0,0
8,139,4558,0.0,1
9,139,7411,0.0,1
10,139,1791,0.0,1
11,139,4298,0.0,1
12,139,1448,0.0,1
13,139,1196,0.0,1
14,139,2030,0.0,1
15,139,4146,0.0,1
16,116,8809,0.0,2
17,116,7423,0.0,2
18,116,7708,0.0,2
19,116,9253,0.0,2
20,116,5887,0.0,2
21,116,6449,0.0,2
22,116,9807,0.0,2
23,116,9095,0.0,2
24,186,5531,0.0,3
25,186,5868,0.0,3
26,186,10831,0.0,3
27,186,4864,0.0,3
28,186,9588,0.0,3
29,186,21780,0.0,3
30,186,7837,0.0,3
31,186,6987,0.0,3
32,118,1763,0.0,4
33,118,4389,0.0,4
34,118,1961,0.0,4
35,118,2881,0.0,4
36,118,3589,0.0,4
37,118,3065,0.0,4
38,118,4143,0.0,4
39,118,3954,0.0,4
40,111,4105,0.0,5
41,111,9926,0.0,5
42,111,5940,0.0,5
43,111,3898,0.0,5
44,111,6121,0.0,5
45,111,8188,0.0,5
46,111,6867,0.0,5
47,111,5458,0.0,5
48,94,11829,0.0,6
49,94,8440,0.0,6
50,94,6366,0.0,6
51,94,9562,0.0,6
52,94,6363,0.0,6
53,94,8770,0.0,6
54,94,7821,0.0,6
55,94,5630,0.0,6
56,158,3347,0.0,7
57,158,1362,0.0,7
58,158,1631,0.0,7
59,158,1513,0.0,7
60,158,2544,0.0,7
61,158,2598,0.0,7
62,158,2675,0.0,7
63,158,2694,0.0,7
64,149,12977,0.0,0
65,149,11186,0.0,0
66,149,10625,0.0,0
67,149,11620,0.0,0
68,149,12273,0.0,0
69,149,13083,0.0,0
70,149,13507,0.0,0
71,149,10223,0.0,0
72,185,7193,0.0,1
73,185,10971,0.0,1
74,185,7782,0.0,1
75,185,10001,0.0,1
76,185,11435,0.0,1
77,185,21198,0.0,1
78,185,13201,0.0,1
79,185,6552,0.0,1
80,147,8919,0.0,2
81,147,14295,0.0,2
82,147,14135,0.0,2
83,147,10516,0.0,2
84,147,14034,0.0,2
85,147,7506,0.0,2
86,147,7542,0.0,2
87,147,10473,0.0,2
88,81,2097,0.0,3
89,81,3078,0.0,3
90,81,1414,0.0,3
91,81,1770,0.0,3
92,81,1747,0.0,3
93,81,2330,0.0,3
94,81,1837,0.0,3
95,81,1443,0.0,3
96,110,7106,0.0,4
97,110,6826,0.0,4
98,110,6557,0.0,4
99,110,7408,0.0,4
100,110,4285,0.0,4
101,110,5624,0.0,4
102,110,9272,0.0,4
103,110,5372,0.0,4
104,122,20374,0.0,5
105,122,15374,0.0,5
106,122,9222,0.0,5
107,122,5612,0.0,5
108,122,8519,0.0,5
109,122,11630,0.0,5
110,122,1858,0.0,5
111,122,5403,0.0,5
112,100,13100,0.0,6
113,100,9262,0.0,6
114,100,10839,0.0,6
115,100,9365,0.0,6
116,100,7132,0.0,6
117,100,4610,0.0,6
118,100,5850,0.0,6
119,100,7670,0.0,6
120,88,3725,0.0,7
121,88,3471,0.0,7
122,88,3893,0.0,7
123,88,6224,0.0,7
124,88,6568,0.0,7
125,88,4507,0.0,7
126,88,5765,0.0,7
127,88,5616,0.0,7
128,155,3249,0.0,0
129,155,1544,0.0,0
130,155,10265,0.0,0
131,155,3307,0.0,0
132,155,3077,0.0,0
133,155,1477,0.0,0
134,155,4653,0.0,0
135,155,3276,0.0,0
136,109,10851,0.0,1
137,109,2655,0.0,1
138,109,1697,0.0,1
139,109,2623,0.0,1
140,109,6779,0.0,1
141,109,14240,0.0,1
142,109,17398,0.0,1
143,109,5373,0.0,1
144,128,1870,0.0,2
145,128,1443,0.0,2
146,128,840,0.0,2
147,128,1085,0.0,2
148,128,1184,0.0,2
149,128,1852,0.0,2
150,128,1099,0.0,2
151,128,1450,0.0,2
152,100,6008,0.0,3
153,100,11996,0.0,3
154,100,10709,0.0,3
155,100,4573,0.0,3
156,100,9512,0.0,3
157,100,10088,0.0,3
158,100,4187,0.0,3
159,100,9045,0.0,3
160,118,8078,0.0,4
161,118,4377,0.0,4
162,118,10324,0.0,4
163,118,6601,0.0,4
164,118,5874,0.0,4
165,118,7033,0.0,4
166,118,15784,0.0,4
167,118,8406,0.0,4
168,82,1531,0.0,5
169,82,3879,0.0,5
170,82,2633,0.0,5
171,82,1626,0.0,5
172,82,1973,0.0,5
173,82,1953,0.0,5
174,82,1918,0.0,5
175,82,3652,0.0,5
176,162,11559,0.0,6
177,162,12616,0.0,6
178,162,13538,0.0,6
179,162,10408,0.0,6
180,162,11347,0.0,6
181,162,12542,0.0,6
182,162,12050,0.0,6
183,162,15421,0.0,6
184,127,10284,0.0,7
185,127,11360,0.0,7
186,127,12705,0.0,7
187,127,5720,0.0,7
188,127,16178,0.0,7
189,127,6494,0.0,7
190,127,4094,0.0,7
191,127,5703,0.0,7
192,104,10534,0.0,0
193,104,12239,0.0,0
194,104,6181,0.0,0
195,104,2942,0.0,0
196,104,5097,0.0,0
197,104,4819,0.0,0
198,104,10113,0.0,0
199,104,7063,0.0,0
200,107,3564,0.0,1
201,107,8526,0.0,1
202,107,8876,0.0,1
203,107,8476,0.0,1
204,107,6677,0.0,1
205,107,12724,0.0,1
206,107,13600,0.0,1
207,107,10258,0.0,1
208,111,13578,0.0,2
209,111,14267,0.0,2
210,111,9818,0.0,2
211,111,15564,0.0,2
212,111,11678,0.0,2
213,111,10958,0.0,2
214,111,14607,0.0,2
215,111,11978,0.0,2
216,191,11079,0.0,3
217,191,7614,0.0,3
218,191,10921,0.0,3
219,191,14974,0.0,3
220,191,14023,0.0,3
221,191,14109,0.0,3
222,191,11712,0.0,3
223,191,11467,0.0,3
224,105,5211,0.0,4
225,105,4367,0.0,4
226,105,3546,0.0,4
227,105,14109,0.0,4
228,105,4106,0.0,4
229,105,4311,0.0,4
230,105,1858,0.0,4
231,105,4633,0.0,4
232,287,9616,0.0,5
233,287,4344,0.0,5
234,287,8079,0.0,5
235,287,5277,0.0,5
236,287,9807,0.0,5
237,287,10501,0.0,5
238,287,7326,0.0,5
239,287,7732,0.0,5
240,243,11053,0.0,6
241,243,9966,0.0,6
242,243,10820,0.0,6
243,243,12059,0.0,6
244,243,10032,0.0,6
245,243,13485,0.0,6
246,243,8915,0.0,6
247,243,9121,0.0,6
248,152,17987,0.0,7
249,152,16996,0.0,7
250,152,14649,0.0,7
251,152,18526,0.0,7
252,152,18587,0.0,7
253,152,13866,0.0,7
254,152,22915,0.0,7
255,152,22924,0.0,7
256,99,5456,0.0,0
257,99,4236,0.0,0
258,99,4253,0.0,0
259,99,6353,0.0,0
260,99,6801,0.0,0
261,99,6144,0.0,0
262,99,6330,0.0,0
263,99,5829,0.0,0
264,129,7186,0.0,1
265,129,18914,0.0,1
266,129,16257,0.0,1
267,129,14149,0.0,1
268,129,12140,0.0,1
269,129,14170,0.0,1
270,129,10305,0.0,1
271,129,8466,0.0,1
272,106,4368,0.0,2
273,106,2276,0.0,2
274,106,4253,0.0,2
275,106,6526,0.0,2
276,106,3178,0.0,2
277,106,3287,0.0,2
278,106,9467,0.0,2
279,106,14996,0.0,2
280,84,599,0.0,3
281,84,982,0.0,3
282,84,920,0.0,3
283,84,984,0.0,3
284,84,812,0.0,3
285,84,1024,0.0,3
286,84,843,0.0,3
287,84,1362,0.0,3
288,118,3840,0.0,4
289,118,1648,0.0,4
290,118,2524,0.0,4
291,118,1067,0.0,4
292,118,1731,0.0,4
293,118,2894,0.0,4
294,118,2662,0.0,4
295,118,2135,0.0,4
296,115,7292,0.0,5
297,115,7196,0.0,5
298,115,4542,0.0,5
299,115,10671,0.0,5
300,115,4205,0.0,5
301,115,3830,0.0,5
302,115,9293,0.0,5
303,115,9829,0.0,5
304,161,6545,0.0,6
305,161,7929,0.0,6
306,161,5935,0.0,6
307,161,8766,0.0,6
308,161,6366,0.0,6
309,161,7351,0.0,6
310,161,7143,0.0,6
311,161,8195,0.0,6
312,327,1049,0.0,7
313,327,1877,0.0,7
314,327,3118,0.0,7
315,327,2857,0.0,7
316,327,3223,0.0,7
317,327,2686,0.0,7
318,327,2436,0.0,7
319,327,3307,0.0,7
320,118,6636,0.0,0
321,118,7683,0.0,0
322,118,7656,0.0,0
323,118,5080,0.0,0
324,118,3612,0.0,0
325,118,745,0.0,0
326,118,3410,0.0,0
327,118,9248,0.0,0
328,122,5960,0.0,1
329,122,11189,0.0,1
330,122,10149,0.0,1
331,122,6580,0.0,1
332,122,12588,0.0,1
333,122,5567,0.0,1
334,122,11237,0.0,1
335,122,9835,0.0,1
336,93,7038,0.0,2
337,93,5599,0.0,2
338,93,5283,0.0,2
339,93,6831,0.0,2
340,93,4787,0.0,2
341,93,3148,0.0,2
342,93,5302,0.0,2
343,93,5268,0.0,2
344,87,4658,0.0,3
345,87,4906,0.0,3
346,87,3374,0.0,3
347,87,5597,0.0,3
348,87,10326,0.0,3
349,87,6306,0.0,3
350,87,9022,0.0,3
351,87,7209,0.0,3
352,120,7269,0.0,4
353,120,16313,0.0,4
354,120,10679,0.0,4
355,120,7795,0.0,4
356,120,7621,0.0,4
357,120,16202,0.0,4
358,120,18549,0.0,4
359,120,15464,0.0,4
360,163,12130,0.0,5
361,163,17954,0.0,5
362,163,8235,0.0,5
363,163,13195,0.0,5
364,163,17967,0.0,5
365,163,12719,0.0,5
366,163,15493,0.0,5
367,163,15011,0.0,5
368,158,14604,0.0,6
369,158,8659,0.0,6
370,158,10344,0.0,6
371,158,16468,0.0,6
372,158,4221,0.0,6
373,158,12979,0.0,6
374,158,10988,0.0,6
375,158,4566,0.0,6
376,150,6452,0.0,7
377,150,12569,0.0,7
378,150,7293,0.0,7
379,150,5317,0.0,7
380,150,3688,0.0,7
381,150,2786,0.0,7
382,150,4676,0.0,7
383,150,6624,0.0,7
384,139,2876,0.0,0
385,139,3411,0.0,0
386,139,3070,0.0,0
387,139,4355,0.0,0
388,139,2714,0.0,0
389,139,3637,0.0,0
390,139,1758,0.0,0
391,139,2507,0.0,0
392,147,5599,0.0,1
