id,input_len,output_len,arrival_time,target_worker
0,97,5720,0.0,0
1,97,4078,0.0,0
2,97,10054,0.0,0
3,97,3844,0.0,0
4,97,4899,0.0,0
5,97,3989,0.0,0
6,97,4083,0.0,0
7,97,5424,0.0,0
8,107,10683,0.0,1
9,107,15442,0.0,1
10,107,10449,0.0,1
11,107,6742,0.0,1
12,107,9222,0.0,1
13,107,7831,0.0,1
14,107,11190,0.0,1
15,107,9224,0.0,1
16,170,3034,0.0,2
17,170,10018,0.0,2
18,170,2658,0.0,2
19,170,2286,0.0,2
20,170,7958,0.0,2
21,170,2168,0.0,2
22,170,2688,0.0,2
23,170,1462,0.0,2
24,90,8130,0.0,3
25,90,7036,0.0,3
26,90,6109,0.0,3
27,90,8600,0.0,3
28,90,6494,0.0,3
29,90,9699,0.0,3
30,90,6233,0.0,3
31,90,6638,0.0,3
32,114,15803,0.0,4
33,114,2872,0.0,4
34,114,5733,0.0,4
35,114,6950,0.0,4
36,114,7521,0.0,4
37,114,9161,0.0,4
38,114,15375,0.0,4
39,114,6889,0.0,4
40,382,9168,0.0,5
41,382,11181,0.0,5
42,382,10823,0.0,5
43,382,11634,0.0,5
44,382,16915,0.0,5
45,382,15187,0.0,5
46,382,17315,0.0,5
47,382,14787,0.0,5
48,189,2847,0.0,6
49,189,5420,0.0,6
50,189,2683,0.0,6
51,189,4295,0.0,6
52,189,3229,0.0,6
53,189,2650,0.0,6
54,189,14951,0.0,6
55,189,3204,0.0,6
56,192,1979,0.0,7
57,192,1733,0.0,7
58,192,2287,0.0,7
59,192,1781,0.0,7
60,192,1799,0.0,7
61,192,1027,0.0,7
62,192,2195,0.0,7
63,192,5581,0.0,7
64,171,11145,0.0,0
65,171,6580,0.0,0
66,171,5798,0.0,0
67,171,9608,0.0,0
68,171,13499,0.0,0
69,171,7252,0.0,0
70,171,7153,0.0,0
71,171,3699,0.0,0
72,189,14246,0.0,1
73,189,6257,0.0,1
74,189,11707,0.0,1
75,189,8828,0.0,1
76,189,6320,0.0,1
77,189,19777,0.0,1
78,189,13136,0.0,1
79,189,10171,0.0,1
80,119,1241,0.0,2
81,119,2017,0.0,2
82,119,1080,0.0,2
83,119,1742,0.0,2
84,119,1154,0.0,2
85,119,1182,0.0,2
86,119,1890,0.0,2
87,119,2209,0.0,2
88,91,1442,0.0,3
89,91,991,0.0,3
90,91,1048,0.0,3
91,91,1538,0.0,3
92,91,1809,0.0,3
93,91,1933,0.0,3
94,91,1798,0.0,3
95,91,6733,0.0,3
96,125,4591,0.0,4
97,125,2166,0.0,4
98,125,3753,0.0,4
99,125,3206,0.0,4
100,125,2322,0.0,4
101,125,4186,0.0,4
102,125,4264,0.0,4
103,125,3437,0.0,4
104,321,5541,0.0,5
105,321,3433,0.0,5
106,321,4866,0.0,5
107,321,3718,0.0,5
108,321,4416,0.0,5
109,321,7818,0.0,5
110,321,4912,0.0,5
111,321,3763,0.0,5
112,142,1440,0.0,6
113,142,1233,0.0,6
114,142,1352,0.0,6
115,142,2132,0.0,6
116,142,1122,0.0,6
117,142,1147,0.0,6
118,142,2598,0.0,6
119,142,1932,0.0,6
120,135,1995,0.0,7
121,135,3016,0.0,7
122,135,13165,0.0,7
123,135,4000,0.0,7
124,135,2038,0.0,7
125,135,4921,0.0,7
126,135,4011,0.0,7
127,135,2093,0.0,7
128,137,14412,0.0,0
129,137,6276,0.0,0
130,137,6378,0.0,0
131,137,17536,0.0,0
132,137,7803,0.0,0
133,137,9646,0.0,0
134,137,5801,0.0,0
135,137,9801,0.0,0
136,133,7689,0.0,1
137,133,6117,0.0,1
138,133,4330,0.0,1
139,133,6400,0.0,1
140,133,5926,0.0,1
141,133,5921,0.0,1
142,133,8523,0.0,1
143,133,2675,0.0,1
144,121,6344,0.0,2
145,121,8385,0.0,2
146,121,8242,0.0,2
147,121,7594,0.0,2
148,121,12551,0.0,2
