id,input_len,output_len,arrival_time,target_worker
0,158,6874,0.0,0
1,158,9130,0.0,0
2,158,3434,0.0,0
3,158,4545,0.0,0
4,158,3344,0.0,0
5,158,3607,0.0,0
6,158,4987,0.0,0
7,158,4354,0.0,0
8,76,6482,0.0,1
9,76,10410,0.0,1
10,76,5925,0.0,1
11,76,6074,0.0,1
12,76,6531,0.0,1
13,76,5461,0.0,1
14,76,4314,0.0,1
15,76,10785,0.0,1
16,215,2159,0.0,2
17,215,2676,0.0,2
18,215,1702,0.0,2
19,215,1361,0.0,2
20,215,10010,0.0,2
21,215,1595,0.0,2
22,215,1707,0.0,2
23,215,1464,0.0,2
24,148,8719,0.0,3
25,148,9430,0.0,3
26,148,6684,0.0,3
27,148,12011,0.0,3
28,148,6484,0.0,3
29,148,7166,0.0,3
30,148,7938,0.0,3
31,148,9612,0.0,3
32,253,19217,0.0,4
33,253,17532,0.0,4
34,253,11399,0.0,4
35,253,5823,0.0,4
36,253,18034,0.0,4
37,253,9341,0.0,4
38,253,3701,0.0,4
39,253,5118,0.0,4
40,168,12738,0.0,5
41,168,10672,0.0,5
42,168,14651,0.0,5
43,168,11051,0.0,5
44,168,3261,0.0,5
45,168,3544,0.0,5
46,168,3321,0.0,5
47,168,5183,0.0,5
48,136,1530,0.0,6
49,136,2703,0.0,6
50,136,2724,0.0,6
51,136,3318,0.0,6
52,136,3972,0.0,6
53,136,1039,0.0,6
54,136,1328,0.0,6
55,136,2073,0.0,6
56,230,11630,0.0,7
57,230,12429,0.0,7
58,230,14703,0.0,7
59,230,16633,0.0,7
60,230,11814,0.0,7
61,230,15967,0.0,7
62,230,16803,0.0,7
63,230,11445,0.0,7
64,169,6215,0.0,0
65,169,12104,0.0,0
66,169,9961,0.0,0
67,169,3316,0.0,0
68,169,5349,0.0,0
69,169,20356,0.0,0
70,169,10145,0.0,0
71,169,6388,0.0,0
72,148,13979,0.0,1
73,148,13363,0.0,1
74,148,19070,0.0,1
75,148,16001,0.0,1
76,148,12849,0.0,1
77,148,14707,0.0,1
78,148,21061,0.0,1
79,148,13342,0.0,1
80,256,3948,0.0,2
81,256,1063,0.0,2
82,256,1693,0.0,2
83,256,2148,0.0,2
84,256,5944,0.0,2
85,256,614,0.0,2
86,256,2811,0.0,2
87,256,4426,0.0,2
88,182,15166,0.0,3
89,182,13786,0.0,3
90,182,14777,0.0,3
91,182,16641,0.0,3
92,182,16958,0.0,3
93,182,18519,0.0,3
94,182,18525,0.0,3
95,182,13198,0.0,3
96,156,8705,0.0,4
97,156,11324,0.0,4
98,156,13684,0.0,4
99,156,15015,0.0,4
100,156,10115,0.0,4
101,156,15759,0.0,4
102,156,14327,0.0,4
103,156,15837,0.0,4
104,115,9494,0.0,5
105,115,7623,0.0,5
106,115,6522,0.0,5
107,115,5649,0.0,5
108,115,8949,0.0,5
109,115,6914,0.0,5
110,115,7801,0.0,5
111,115,12763,0.0,5
112,198,7022,0.0,6
113,198,10458,0.0,6
114,198,9169,0.0,6
115,198,8385,0.0,6
116,198,4574,0.0,6
117,198,5008,0.0,6
118,198,11038,0.0,6
119,198,9723,0.0,6
120,123,9360,0.0,7
121,123,12539,0.0,7
122,123,15183,0.0,7
123,123,15587,0.0,7
124,123,21061,0.0,7
125,123,14385,0.0,7
126,123,16913,0.0,7
127,123,20508,0.0,7
128,81,1612,0.0,0
129,81,1925,0.0,0
130,81,2102,0.0,0
131,81,1799,0.0,0
132,81,2403,0.0,0
133,81,2366,0.0,0
134,81,1169,0.0,0
135,81,1158,0.0,0
136,161,8260,0.0,1
137,161,7252,0.0,1
138,161,10627,0.0,1
139,161,7917,0.0,1
140,161,9025,0.0,1
141,161,10057,0.0,1
142,161,7385,0.0,1
143,161,19030,0.0,1
144,123,14164,0.0,2
145,123,14792,0.0,2
146,123,10164,0.0,2
147,123,6985,0.0,2
148,123,13049,0.0,2
149,123,14097,0.0,2
150,123,15758,0.0,2
151,123,12526,0.0,2
152,213,12510,0.0,3
153,213,9835,0.0,3
154,213,11705,0.0,3
155,213,11226,0.0,3
156,213,11844,0.0,3
157,213,15026,0.0,3
158,213,18573,0.0,3
159,213,13088,0.0,3
160,89,3398,0.0,4
161,89,3403,0.0,4
162,89,4334,0.0,4
163,89,3217,0.0,4
164,89,2516,0.0,4
165,89,5193,0.0,4
166,89,6025,0.0,4
167,89,3835,0.0,4
168,167,2805,0.0,5
169,167,2528,0.0,5
170,167,802,0.0,5
171,167,3396,0.0,5
172,167,2585,0.0,5
173,167,1469,0.0,5
174,167,2169,0.0,5
175,167,3416,0.0,5
176,118,3277,0.0,6
177,118,4087,0.0,6
178,118,2769,0.0,6
179,118,2987,0.0,6
180,118,2555,0.0,6
181,118,3198,0.0,6
182,118,2627,0.0,6
183,118,6005,0.0,6
184,128,8508,0.0,7
185,128,11018,0.0,7
186,128,13675,0.0,7
187,128,11956,0.0,7
188,128,12581,0.0,7
189,128,10193,0.0,7
190,128,9084,0.0,7
191,128,11287,0.0,7
192,208,2577,0.0,0
193,208,3359,0.0,0
194,208,2888,0.0,0
195,208,411,0.0,0
196,208,1760,0.0,0
197,208,2975,0.0,0
198,208,3066,0.0,0
199,208,3202,0.0,0
200,97,3312,0.0,1
201,97,2727,0.0,1
202,97,4737,0.0,1
203,97,1738,0.0,1
204,97,1696,0.0,1
205,97,2020,0.0,1
206,97,1697,0.0,1
207,97,2354,0.0,1
208,281,12991,0.0,2
209,281,14729,0.0,2
210,281,13054,0.0,2
211,281,10554,0.0,2
212,281,11603,0.0,2
213,281,12463,0.0,2
214,281,11831,0.0,2
215,281,14858,0.0,2
216,110,9422,0.0,3
217,110,16697,0.0,3
218,110,14336,0.0,3
219,110,14026,0.0,3
220,110,14906,0.0,3
221,110,10609,0.0,3
222,110,10317,0.0,3
223,110,13409,0.0,3
224,160,4009,0.0,4
225,160,5046,0.0,4
226,160,4302,0.0,4
227,160,3922,0.0,4
228,160,4129,0.0,4
229,160,3473,0.0,4
230,160,2944,0.0,4
231,160,4870,0.0,4
232,159,5432,0.0,5
233,159,4730,0.0,5
234,159,5163,0.0,5
235,159,12867,0.0,5
236,159,12297,0.0,5
237,159,16665,0.0,5
238,159,18637,0.0,5
239,159,4321,0.0,5
240,226,6244,0.0,6
241,226,5457,0.0,6
242,226,18295,0.0,6
243,226,13370,0.0,6
244,226,14535,0.0,6
245,226,16662,0.0,6
246,226,16075,0.0,6
247,226,8942,0.0,6
248,110,8236,0.0,7
249,110,10688,0.0,7
250,110,9811,0.0,7
251,110,10273,0.0,7
252,110,10874,0.0,7
253,110,7507,0.0,7
254,110,10211,0.0,7
255,110,9691,0.0,7
256,110,5989,0.0,0
257,110,8518,0.0,0
258,110,4893,0.0,0
259,110,5139,0.0,0
260,110,5478,0.0,0
261,110,5866,0.0,0
262,110,2479,0.0,0
263,110,4475,0.0,0
