3475128|2026-09-20 00:36:52|128|14404|0
3475122|2026-09-20 00:36:56|128|78807|0
3475130|2026-09-20 00:37:01|126|129123|0
3475122|2026-09-20 00:37:06|128|181207|0
3475130|2026-09-20 00:37:11|115|198612|0
3475130|2026-09-20 00:37:16|112|227109|0
3475122|2026-09-20 00:37:21|120|277999|0
3475127|2026-09-20 00:37:26|116|303128|0
3475129|2026-09-20 00:37:32|105|306290|0
3475126|2026-09-20 00:37:37|100|321628|0
3475128|2026-09-20 00:37:41|84|295503|0
3475128|2026-09-20 00:37:47|79|301630|0
3475121|2026-09-20 00:37:51|91|356755|0
3475130|2026-09-20 00:37:57|77|333860|0
3475127|2026-09-20 00:38:02|97|418609|0
3475130|2026-09-20 00:38:07|72|348355|0
3475129|2026-09-20 00:38:11|78|383732|0
3475128|2026-09-20 00:38:17|52|287248|0
3475123|2026-09-20 00:38:22|75|406393|0
3475126|2026-09-20 00:38:27|81|446896|0
3475121|2026-09-20 00:38:32|72|419436|0
3475121|2026-09-20 00:38:36|71|427835|0
3475128|2026-09-20 00:38:42|29|206836|0
3475122|2026-09-20 00:38:47|73|454284|0
3475122|2026-09-20 00:38:51|70|449606|0
3475130|2026-09-20 00:38:56|50|362733|0
3475128|2026-09-20 00:39:02|26|221699|0
3475121|2026-09-20 00:39:07|60|439702|0
3475123|2026-09-20 00:39:12|59|449472|0
3475130|2026-09-20 00:39:17|48|396331|0
3475122|2026-09-20 00:39:22|57|441673|0
3475129|2026-09-20 00:39:26|70|562038|0
3475129|2026-09-20 00:39:32|70|576038|0
3475130|2026-09-20 00:39:36|57|512975|0
3475130|2026-09-20 00:39:41|55|506247|0
3475129|2026-09-20 00:39:47|69|602305|0
3475126|2026-09-20 00:39:52|68|595554|0
3475130|2026-09-20 00:39:57|52|510916|0
3475129|2026-09-20 00:40:02|67|618403|0
3475126|2026-09-20 00:40:07|65|601593|0
3475130|2026-09-20 00:40:11|42|439117|0
3475121|2026-09-20 00:40:17|44|453655|0
3475122|2026-09-20 00:40:22|44|451413|0
3475126|2026-09-20 00:40:27|59|587204|0
3475130|2026-09-20 00:40:32|36|410752|0
3475130|2026-09-20 00:40:37|36|417952|0
3475123|2026-09-20 00:40:42|55|581467|0
3475129|2026-09-20 00:40:46|56|601154|0
3475129|2026-09-20 00:40:52|54|590552|0
3475130|2026-09-20 00:40:57|24|300965|0
3475126|2026-09-20 00:41:02|51|569135|0
3475129|2026-09-20 00:41:07|49|559997|0
3475129|2026-09-20 00:41:12|49|569797|0
3475130|2026-09-20 00:41:17|18|245855|0
3475121|2026-09-20 00:41:22|26|343559|0
3475122|2026-09-20 00:41:27|28|370949|0
3475130|2026-09-20 00:41:32|16|233453|0
3475130|2026-09-20 00:41:38|15|225152|0
3475123|2026-09-20 00:41:42|35|448095|0
3475126|2026-09-20 00:41:48|43|557497|0
3475122|2026-09-20 00:41:52|43|596732|0
3475123|2026-09-20 00:41:57|28|376520|0
3475121|2026-09-20 00:42:02|37|510594|0
3475121|2026-09-20 00:42:08|36|504547|0
3475122|2026-09-20 00:42:12|41|596350|0
3475123|2026-09-20 00:42:17|23|332256|0
3475121|2026-09-20 00:42:23|29|424752|0
3475126|2026-09-20 00:42:28|22|320682|0
3475121|2026-09-20 00:42:32|43|635559|17
3475122|2026-09-20 00:42:36|43|651742|4
3475122|2026-09-20 00:42:40|42|640751|3
3475122|2026-09-20 00:42:47|41|631124|0
3475121|2026-09-20 00:42:53|41|627155|16
3475121|2026-09-20 00:42:57|41|629695|14
3475122|2026-09-20 00:43:02|33|525396|0
3475121|2026-09-20 00:43:08|40|625454|10
3475122|2026-09-20 00:43:12|29|471357|0
3475122|2026-09-20 00:43:16|27|445805|0
3475121|2026-09-20 00:43:22|40|620132|5
3475122|2026-09-20 00:43:28|23|391793|0
3475122|2026-09-20 00:43:32|23|396393|0
3475122|2026-09-20 00:43:37|21|366449|0
3475121|2026-09-20 00:43:43|39|637666|1
3475122|2026-09-20 00:43:47|14|252355|0
3475122|2026-09-20 00:43:53|7|130084|0
3475122|2026-09-20 00:43:58|4|77255|0
3475122|2026-09-20 00:44:03|3|60454|0
3475121|2026-09-20 00:44:08|33|563241|0
3475121|2026-09-20 00:44:13|32|551945|0
3475121|2026-09-20 00:44:18|29|504572|0
3475121|2026-09-20 00:44:23|27|476784|0
3475121|2026-09-20 00:44:28|26|463543|0
3475121|2026-09-20 00:44:33|23|416207|0
3475121|2026-09-20 00:44:37|20|366139|0
3475121|2026-09-20 00:44:42|20|370139|0
3475121|2026-09-20 00:44:46|19|355700|0
3475121|2026-09-20 00:44:53|18|342552|0
3475121|2026-09-20 00:44:58|16|309785|0
3475121|2026-09-20 00:45:03|16|314585|0
3475121|2026-09-20 00:45:09|15|300769|0
3475121|2026-09-20 00:45:13|13|263273|0
3475121|2026-09-20 00:45:18|11|225941|0
3475121|2026-09-20 00:45:23|10|209724|0
3475121|2026-09-20 00:45:28|6|126992|0
3475121|2026-09-20 00:45:33|2|42575|0
3475121|2026-09-20 00:45:38|2|43975|0
3475121|2026-09-20 00:45:43|1|23141|0
3475121|2026-09-20 00:45:48|1|23941|0
3475121|2026-09-20 00:45:53|1|24741|0
3475121|2026-09-20 00:45:56|1|25141|0
3475121|2026-09-20 00:47:20|128|14361|0
3475130|2026-09-20 00:47:25|123|75491|0
3475126|2026-09-20 00:47:30|125|127001|0
3475126|2026-09-20 00:47:35|120|170001|0
3475127|2026-09-20 00:47:40|101|183458|0
3475130|2026-09-20 00:47:45|107|226337|0
3475122|2026-09-20 00:47:50|106|256069|0
3475127|2026-09-20 00:47:55|84|236858|0
3475121|2026-09-20 00:48:00|107|311748|0
3475128|2026-09-20 00:48:05|85|282215|0
3475130|2026-09-20 00:48:10|77|278701|0
3475121|2026-09-20 00:48:16|95|352862|0
3475127|2026-09-20 00:48:20|71|306737|0
3475123|2026-09-20 00:48:25|86|362735|0
3475121|2026-09-20 00:48:30|87|384162|0
3475127|2026-09-20 00:48:35|66|337760|0
3475122|2026-09-20 00:48:40|82|403335|0
3475130|2026-09-20 00:48:45|44|251805|0
3475128|2026-09-20 00:48:50|44|265354|0
3475128|2026-09-20 00:48:55|41|259585|0
3475122|2026-09-20 00:49:00|68|395796|0
3475129|2026-09-20 00:49:05|68|422900|0
3475122|2026-09-20 00:49:11|63|398296|0
3475128|2026-09-20 00:49:15|34|256285|0
3475121|2026-09-20 00:49:21|72|476325|0
3475121|2026-09-20 00:49:26|72|490725|0
3475130|2026-09-20 00:49:31|16|143055|0
3475129|2026-09-20 00:49:35|16|122032|0
3475126|2026-09-20 00:49:41|57|424701|0
3475122|2026-09-20 00:49:45|68|531869|0
3475122|2026-09-20 00:49:51|65|521769|0
3475122|2026-09-20 00:49:56|62|510469|0
3475122|2026-09-20 00:50:01|60|506269|0
